"","county_desc","site_name","election_dt","site_total_age","age_percent_Age 18 - 25","age_percent_Age 26 - 40","age_percent_Age 41 - 65","age_percent_Age Over 66","age_percent_NA","n_Age 18 - 25","n_Age 26 - 40","n_Age 41 - 65","n_Age Over 66","n_NA","site_total_ethnicity","ethnicity_percent_HISPANIC or LATINO","ethnicity_percent_NOT HISPANIC or NOT LATINO","ethnicity_percent_UNDESIGNATED ETHNICITY","n_HISPANIC or LATINO","n_NOT HISPANIC or NOT LATINO","n_UNDESIGNATED ETHNICITY","site_total","race_percent_ASIAN","race_percent_BLACK or AFRICAN AMERICAN","race_percent_INDIAN AMERICAN or ALASKA NATIVE","race_percent_OTHER","race_percent_TWO or MORE RACES","race_percent_UNDESIGNATED RACE","race_percent_WHITE","race_percent_'UNDESIGNATED","n_ASIAN","n_BLACK or AFRICAN AMERICAN","n_INDIAN AMERICAN or ALASKA NATIVE","n_OTHER","n_TWO or MORE RACES","n_UNDESIGNATED RACE","n_WHITE","n_'UNDESIGNATED","n","sdr_percent","race_percent_NATIVE HAWAIIAN or PACIFIC ISLANDER","n_NATIVE HAWAIIAN or PACIFIC ISLANDER","election"
"2514","GUILFORD","GUILFORD AG CENTER","05/17/2022",3290,0.035,0.061,0.385,0.501,0.018,114,201,1268,1649,58,3290,0.006,0.888,0.106,20,2922,348,3290,0.001,0.637,0.002,0.007,0.004,0.023,0.326,NA,3,2097,7,22,12,75,1073,NA,45,0.014,0,1,"2022-05"
"2515","GUILFORD","GUILFORD COUNTY BOARD OF ELECTIONS OFFICE","05/17/2022",2978,0.069,0.169,0.444,0.307,0.011,204,503,1323,915,33,2978,0.013,0.86,0.127,39,2560,379,2978,0.011,0.364,0.001,0.014,0.007,0.033,0.571,NA,32,1084,2,42,22,97,1699,NA,78,0.026,NA,NA,"2022-05"
"2516","GUILFORD","LEONARD RECREATION CENTER","05/17/2022",3176,0.024,0.082,0.353,0.533,0.008,75,262,1120,1694,25,3176,0.009,0.92,0.071,28,2921,227,3176,0.006,0.117,0.002,0.009,0.003,0.017,0.845,NA,19,372,5,30,10,55,2685,NA,27,0.009,NA,NA,"2022-05"
"2517","GUILFORD","ROY CULLER CENTER","05/17/2022",2215,0.032,0.052,0.33,0.571,0.014,71,116,731,1265,32,2215,0.01,0.879,0.111,23,1947,245,2215,0.001,0.466,0,0.008,0.004,0.019,0.502,NA,3,1032,1,17,9,42,1111,NA,26,0.012,NA,NA,"2022-05"
"2518","HALIFAX","AGRICULTURE BUILDING","05/17/2022",1257,0.028,0.063,0.399,0.508,0.002,35,79,502,638,3,1257,0.002,0.889,0.109,3,1117,137,1257,0.002,0.694,0.012,0.003,0.002,0.016,0.271,NA,2,872,15,4,3,20,341,NA,15,0.012,NA,NA,"2022-05"
"2519","HALIFAX","ENFIELD FIRE SUBSTATION","05/17/2022",653,0.029,0.09,0.438,0.443,NA,19,59,286,289,NA,653,NA,0.871,0.129,NA,569,84,653,0.003,0.775,0.144,0.008,0.005,0.017,0.049,NA,2,506,94,5,3,11,32,NA,15,0.023,NA,NA,"2022-05"
"2520","HALIFAX","NEW RESOURCE BUILDING","05/17/2022",1517,0.03,0.059,0.419,0.491,0.001,45,89,636,745,2,1517,0.003,0.883,0.114,5,1339,173,1517,0.003,0.482,0.001,0.004,0.002,0.016,0.492,NA,4,731,2,6,3,25,746,NA,6,0.004,NA,NA,"2022-05"
"2521","HALIFAX","SHILOH MISSIONARY BAPTIST CHURCH","05/17/2022",342,0.02,0.041,0.322,0.617,NA,7,14,110,211,NA,342,0.003,0.909,0.088,1,311,30,342,NA,0.851,NA,0.003,0.006,0.02,0.12,NA,NA,291,NA,1,2,7,41,NA,NA,NA,NA,NA,"2022-05"
"2522","HARNETT","ANGIER ELEMENTARY","05/17/2022",764,0.021,0.056,0.406,0.51,0.007,16,43,310,390,5,764,0.018,0.754,0.228,14,576,174,764,0.003,0.118,0.003,0.01,0.001,0.03,0.835,NA,2,90,2,8,1,23,638,NA,9,0.012,NA,NA,"2022-05"
"2523","HARNETT","ERWIN PARKS AND REC GYM","05/17/2022",1167,0.016,0.058,0.38,0.543,0.002,19,68,444,634,2,1167,0.006,0.865,0.129,7,1009,151,1167,0.001,0.205,0.003,0.009,0.004,0.026,0.751,NA,1,239,4,11,5,30,877,NA,6,0.005,NA,NA,"2022-05"
"2524","HARNETT","HARNETT CO COMMONS AREA","05/17/2022",1577,0.028,0.055,0.386,0.529,0.003,44,86,608,835,4,1577,0.011,0.808,0.181,17,1274,286,1577,0.001,0.222,0.005,0.007,0.004,0.034,0.727,NA,2,350,8,11,6,54,1146,NA,21,0.013,NA,NA,"2022-05"
"2525","HARNETT","WESTERN HARNETT HIGH SCHOOL","05/17/2022",1276,0.025,0.067,0.49,0.414,0.005,32,85,625,528,6,1276,0.021,0.75,0.229,27,957,292,1276,0.005,0.306,0.004,0.014,0.003,0.045,0.622,NA,6,391,5,18,4,57,794,NA,17,0.013,0.001,1,"2022-05"
"2526","HAYWOOD","CLYDE MUNICIPAL BUILDING","05/17/2022",515,0.019,0.105,0.379,0.495,0.002,10,54,195,255,1,515,0.008,0.849,0.144,4,437,74,515,NA,0.004,NA,0.008,0.004,0.037,0.948,NA,NA,2,NA,4,2,19,488,NA,10,0.019,NA,NA,"2022-05"
"2527","HAYWOOD","HAYWOOD COUNTY SENIOR RESOURCE CENTER","05/17/2022",2727,0.017,0.056,0.285,0.642,0,47,152,776,1751,1,2727,0.004,0.838,0.157,12,2286,429,2727,0.002,0.006,0.001,0.005,0.002,0.018,0.966,NA,5,16,3,14,5,50,2634,NA,19,0.007,NA,NA,"2022-05"
"2528","HAYWOOD","LIBRARY","05/17/2022",1042,0.03,0.089,0.392,0.487,0.003,31,93,408,507,3,1042,0.005,0.874,0.121,5,911,126,1042,0.001,0.018,0.002,0.005,0.001,0.021,0.952,NA,1,19,2,5,1,22,992,NA,8,0.008,NA,NA,"2022-05"
"2529","HENDERSON","ETOWAH LIBRARY","05/17/2022",1733,0.017,0.043,0.289,0.649,0.002,29,75,501,1125,3,1733,0.009,0.689,0.302,15,1194,524,1733,0.002,0.005,NA,0.005,0.001,0.033,0.953,NA,3,9,NA,9,2,58,1652,NA,12,0.007,NA,NA,"2022-05"
"2530","HENDERSON","FLAT ROCK VILLAGE HALL","05/17/2022",1582,0.009,0.038,0.225,0.726,0.002,14,60,356,1149,3,1582,0.008,0.682,0.31,13,1079,490,1582,0.003,0.003,0.002,0.008,0.002,0.028,0.954,NA,4,4,3,13,3,45,1510,NA,8,0.005,NA,NA,"2022-05"
"2531","HENDERSON","FLETCHER TOWN HALL","05/17/2022",1720,0.021,0.085,0.357,0.534,0.003,36,146,614,918,6,1720,0.006,0.707,0.287,10,1216,494,1720,0.003,0.01,0.001,0.01,0.003,0.028,0.944,NA,6,17,1,17,6,49,1624,NA,17,0.01,NA,NA,"2022-05"
"2532","HENDERSON","HENDERSON COUNTY BOARD OF ELECTIONS OFFICE","05/17/2022",5271,0.018,0.059,0.292,0.631,0.001,93,309,1537,3325,7,5271,0.007,0.716,0.276,39,3775,1457,5271,0.003,0.012,0,0.006,0.002,0.025,0.953,NA,14,61,1,31,9,130,5024,NA,23,0.004,0,1,"2022-05"
"2533","HERTFORD","HERTFORD COUNTY BOARD OF ELECTIONS OFFICE","05/17/2022",973,0.023,0.08,0.375,0.519,0.003,22,78,365,505,3,973,0.002,0.82,0.178,2,798,173,973,0.001,0.767,0.008,0.007,0.001,0.011,0.205,NA,1,746,8,7,1,11,199,NA,25,0.026,NA,NA,"2022-05"
"2534","HOKE","HOKE COUNTY BOARD OF ELECTIONS OFFICE","05/17/2022",1889,0.027,0.063,0.431,0.476,0.002,51,119,815,900,4,1889,0.015,0.885,0.1,28,1672,189,1889,0.003,0.704,0.05,0.014,0.004,0.018,0.207,NA,5,1330,95,27,7,34,391,NA,34,0.018,NA,NA,"2022-05"
"2535","HOKE","ROCKFISH COMMUNITY CENTER","05/17/2022",648,0.023,0.063,0.546,0.366,0.002,15,41,354,237,1,648,0.029,0.856,0.114,19,555,74,648,0.005,0.426,0.017,0.025,0.003,0.035,0.489,NA,3,276,11,16,2,23,317,NA,12,0.019,NA,NA,"2022-05"
"2536","HYDE","HYDE COUNTY BOARD OF ELECTIONS OFFICE","05/17/2022",91,NA,0.022,0.33,0.648,NA,NA,2,30,59,NA,91,NA,0.89,0.11,NA,81,10,91,NA,0.374,NA,NA,NA,0.011,0.615,NA,NA,34,NA,NA,NA,1,56,NA,NA,NA,NA,NA,"2022-05"
"2537","HYDE","OCRACOKE VOLUNTEER FIRE DEPARTMENT","05/17/2022",30,NA,NA,0.433,0.567,NA,NA,NA,13,17,NA,30,NA,0.7,0.3,NA,21,9,30,NA,NA,NA,NA,NA,0.067,0.933,NA,NA,NA,NA,NA,NA,2,28,NA,NA,NA,NA,NA,"2022-05"
"2538","IREDELL","AMERICAN LEGION BUILDING","05/17/2022",657,0.027,0.085,0.35,0.534,0.003,18,56,230,351,2,657,NA,0.915,0.085,NA,601,56,657,NA,0.064,NA,NA,0.002,0.02,0.915,NA,NA,42,NA,NA,1,13,601,NA,2,0.003,NA,NA,"2022-05"
"2539","IREDELL","IREDELL COUNTY BOARD OF ELECTIONS OFFICE","05/17/2022",4365,0.024,0.058,0.365,0.548,0.005,106,251,1594,2390,24,4365,0.007,0.911,0.082,31,3976,358,4365,0.002,0.168,0.001,0.008,0.001,0.016,0.805,NA,8,733,3,34,5,70,3512,NA,23,0.005,NA,NA,"2022-05"
"2540","IREDELL","LAKE NORMAN FIRE DEPARTMENT","05/17/2022",1913,0.027,0.042,0.415,0.513,0.003,51,81,794,981,6,1913,0.006,0.853,0.141,12,1632,269,1913,0.008,0.016,0.002,0.009,0.001,0.028,0.937,NA,15,30,3,18,1,53,1793,NA,11,0.006,NA,NA,"2022-05"
"2541","IREDELL","TROUTMAN LIBRARY","05/17/2022",958,0.017,0.062,0.401,0.519,0.002,16,59,384,497,2,958,0.007,0.882,0.111,7,845,106,958,0.003,0.043,0.001,0.01,0.005,0.021,0.916,NA,3,41,1,10,5,20,878,NA,3,0.003,NA,NA,"2022-05"
"2542","IREDELL","WAR MEMORIAL RECREATION BUILDING","05/17/2022",1489,0.032,0.051,0.377,0.516,0.024,48,76,562,768,35,1489,0.008,0.829,0.163,12,1235,242,1489,0.005,0.074,0.001,0.008,0.003,0.032,0.878,NA,7,110,1,12,4,48,1307,NA,19,0.013,NA,NA,"2022-05"
"2543","JACKSON","CASHIERS RECREATION CENTER","05/17/2022",466,0.015,0.041,0.266,0.678,NA,7,19,124,316,NA,466,0.004,0.796,0.2,2,371,93,466,0.002,NA,0.002,0.002,NA,0.03,0.964,NA,1,NA,1,1,NA,14,449,NA,2,0.004,NA,NA,"2022-05"
"2544","JACKSON","CULLOWHEE RECREATION CENTER","05/17/2022",799,0.029,0.091,0.358,0.519,0.003,23,73,286,415,2,799,0.003,0.875,0.123,2,699,98,799,0.004,0.004,NA,0.005,0.003,0.024,0.961,NA,3,3,NA,4,2,19,768,NA,NA,NA,NA,NA,"2022-05"
"2545","JACKSON","JACKSON COUNTY BOARD OF ELECTIONS OFFICE","05/17/2022",1551,0.032,0.099,0.386,0.48,0.003,50,154,599,744,4,1551,0.004,0.852,0.144,6,1322,223,1551,0.004,0.006,0.01,0.006,0.002,0.025,0.948,NA,6,9,15,9,3,39,1470,NA,11,0.007,NA,NA,"2022-05"
"2546","JACKSON","QUALLA COMMUNITY BUILDING","05/17/2022",221,0.023,0.095,0.403,0.475,0.005,5,21,89,105,1,221,0.005,0.828,0.167,1,183,37,221,0.005,NA,0.149,NA,0.005,0.045,0.796,NA,1,NA,33,NA,1,10,176,NA,3,0.014,NA,NA,"2022-05"
"2547","JACKSON","WESTERN CAROLINA UNIVERSITY","05/17/2022",248,0.31,0.153,0.415,0.121,NA,77,38,103,30,NA,248,0.028,0.766,0.206,7,190,51,248,0.004,0.02,NA,0.012,0.008,0.085,0.871,NA,1,5,NA,3,2,21,216,NA,11,0.044,NA,NA,"2022-05"
"2548","JOHNSTON","ARCHER LODGE COMMUNITY BUILDING","05/17/2022",2235,0.036,0.086,0.475,0.401,0.003,80,192,1061,896,6,2235,0.011,0.757,0.231,25,1693,517,2235,0.002,0.101,0.001,0.013,0.003,0.057,0.823,NA,4,226,3,28,6,128,1840,NA,18,0.008,NA,NA,"2022-05"
"2549","JOHNSTON","CLEVELAND COMMUNITY CHURCH","05/17/2022",2235,0.038,0.075,0.484,0.399,0.004,84,168,1082,892,9,2235,0.009,0.744,0.247,20,1663,552,2235,0.004,0.149,0.003,0.014,0.003,0.06,0.766,NA,10,334,7,32,7,133,1712,NA,20,0.009,NA,NA,"2022-05"
"2550","JOHNSTON","FIRST BAPTIST CHURCH MINISTRY CENTER","05/17/2022",2885,0.021,0.061,0.372,0.545,0.002,60,176,1072,1571,6,2885,0.01,0.832,0.157,30,2401,454,2885,0.001,0.221,0.002,0.009,0.003,0.027,0.735,NA,4,639,7,27,8,79,2121,NA,16,0.006,NA,NA,"2022-05"
"2551","JOHNSTON","THE CHURCH AT CLAYTON CROSSING","05/17/2022",3456,0.026,0.087,0.435,0.447,0.004,90,301,1504,1546,15,3456,0.014,0.79,0.196,48,2729,679,3456,0.003,0.225,0.001,0.011,0.003,0.044,0.712,NA,11,777,5,39,10,152,2462,NA,34,0.01,NA,NA,"2022-05"
"2552","JONES","JONES COUNTY BOARD OF ELECTIONS OFFICE","05/17/2022",608,0.026,0.069,0.377,0.525,0.003,16,42,229,319,2,608,0.007,0.817,0.176,4,497,107,608,0.002,0.242,0.002,0.003,0.005,0.028,0.719,NA,1,147,1,2,3,17,437,NA,9,0.015,NA,NA,"2022-05"
"2553","LEE","LEE COUNTY BOARD OF ELECTIONS OFFICE","05/17/2022",1372,0.017,0.083,0.323,0.575,0.001,24,114,443,789,2,1372,0.025,0.816,0.16,34,1119,219,1372,0.004,0.291,0.001,0.015,0.004,0.03,0.655,NA,6,399,1,20,6,41,899,NA,18,0.013,NA,NA,"2022-05"
"2554","LEE","MCSWAIN CENTER","05/17/2022",1718,0.023,0.052,0.352,0.569,0.005,39,89,604,978,8,1718,0.005,0.853,0.142,8,1466,244,1718,0.003,0.132,0.003,0.009,0.002,0.019,0.831,NA,5,227,5,16,4,33,1428,NA,6,0.003,NA,NA,"2022-05"
"2555","LENOIR","GEORGIA K. BATTLE CENTER","05/17/2022",92,0.022,0.043,0.293,0.641,NA,2,4,27,59,NA,92,NA,0.848,0.152,NA,78,14,92,NA,0.935,NA,NA,0.011,0.011,0.043,NA,NA,86,NA,NA,1,1,4,NA,1,0.011,NA,NA,"2022-05"
"2556","LENOIR","KINSTON COMMUNITY CENTER","05/17/2022",417,0.012,0.024,0.305,0.657,0.002,5,10,127,274,1,417,NA,0.875,0.125,NA,365,52,417,0.002,0.223,NA,0.005,NA,0.01,0.76,NA,1,93,NA,2,NA,4,317,NA,3,0.007,NA,NA,"2022-05"
"2557","LENOIR","LA GRANGE FRINK ALUMNI ASSOCIATION CULTURE CENTER","05/17/2022",369,0.016,0.038,0.317,0.623,0.005,6,14,117,230,2,369,NA,0.913,0.087,NA,337,32,369,NA,0.382,NA,NA,0.003,0.003,0.612,NA,NA,141,NA,NA,1,1,226,NA,3,0.008,NA,NA,"2022-05"
"2558","LENOIR","LENOIR COUNTY COOPERATIVE EXTENSION SERVICE","05/17/2022",724,0.011,0.052,0.329,0.608,NA,8,38,238,440,NA,724,0.001,0.891,0.108,1,645,78,724,0.001,0.086,0.001,NA,0.001,0.01,0.899,NA,1,62,1,NA,1,7,651,NA,7,0.01,0.001,1,"2022-05"
"2559","LENOIR","NEUSE REGIONAL LIBRARY","05/17/2022",367,0.016,0.046,0.297,0.64,NA,6,17,109,235,NA,367,0.005,0.856,0.139,2,314,51,367,NA,0.42,0.003,NA,0.005,0.025,0.548,NA,NA,154,1,NA,2,9,201,NA,4,0.011,NA,NA,"2022-05"
"2560","LENOIR","TEACHERS MEMORIAL GYM","05/17/2022",676,0.012,0.028,0.29,0.667,0.003,8,19,196,451,2,676,NA,0.854,0.146,NA,577,99,676,0.001,0.914,NA,NA,0.004,0.009,0.071,NA,1,618,NA,NA,3,6,48,NA,1,0.001,NA,NA,"2022-05"
"2561","LINCOLN","BETTY ROSS RECREATION CENTER - GYM","05/17/2022",589,0.031,0.076,0.375,0.514,0.003,18,45,221,303,2,589,0.007,0.835,0.158,4,492,93,589,NA,0.112,NA,0.005,NA,0.019,0.864,NA,NA,66,NA,3,NA,11,509,NA,4,0.007,NA,NA,"2022-05"
"2562","LINCOLN","EAST LINCOLN COMMUNITY/RECREATION CENTER","05/17/2022",2551,0.018,0.051,0.381,0.546,0.004,47,131,971,1392,10,2551,0.008,0.792,0.2,20,2020,511,2551,0.002,0.043,0.002,0.004,0.002,0.038,0.909,NA,4,110,4,11,5,97,2320,NA,32,0.013,NA,NA,"2022-05"
"2563","LINCOLN","LINCOLN COUNTY BOARD OF ELECTIONS OFFICE","05/17/2022",1246,0.03,0.083,0.363,0.521,0.003,38,103,452,649,4,1246,0.009,0.839,0.152,11,1046,189,1246,0.001,0.073,0.002,0.003,0.001,0.028,0.892,NA,1,91,2,4,1,35,1112,NA,13,0.01,NA,NA,"2022-05"
"2564","LINCOLN","WEST  LINCOLN LIBRARY","05/17/2022",545,0.028,0.112,0.396,0.462,0.002,15,61,216,252,1,545,0.006,0.857,0.138,3,467,75,545,0.002,0.002,NA,0.006,0.002,0.018,0.971,NA,1,1,NA,3,1,10,529,NA,4,0.007,NA,NA,"2022-05"
"2565","MACON","HIGHLANDS CIVIC CENTER","05/17/2022",449,0.018,0.067,0.323,0.586,0.007,8,30,145,263,3,449,0.004,0.728,0.267,2,327,120,449,NA,NA,NA,0.007,NA,0.049,0.944,NA,NA,NA,NA,3,NA,22,424,NA,1,0.002,NA,NA,"2022-05"
"2566","MACON","MACON COUNTY COMMUNITY BUILDING","05/17/2022",4087,0.044,0.12,0.358,0.472,0.005,179,491,1464,1931,22,4087,0.006,0.793,0.202,23,3239,825,4087,0.001,0.003,0.003,0.004,0.001,0.021,0.966,NA,6,13,11,18,6,87,3946,NA,44,0.011,NA,NA,"2022-05"
"2567","MADISON","BEECH GLEN COMMUNITY CENTER GYMNASIUM","05/17/2022",660,0.03,0.094,0.309,0.564,0.003,20,62,204,372,2,660,0.002,0.648,0.35,1,428,231,660,0.006,0.008,NA,0.008,0.005,0.036,0.938,NA,4,5,NA,5,3,24,619,NA,16,0.024,NA,NA,"2022-05"
"2568","MADISON","HOT SPRINGS (BILL WHITTEN) COMMUNITY CENTER","05/17/2022",138,0.036,0.094,0.362,0.5,0.007,5,13,50,69,1,138,0.014,0.667,0.319,2,92,44,138,NA,NA,NA,0.007,NA,0.022,0.971,NA,NA,NA,NA,1,NA,3,134,NA,4,0.029,NA,NA,"2022-05"
"2569","MADISON","MADISON WELLNESS CENTER GYMNASIUM","05/17/2022",592,0.027,0.064,0.389,0.52,NA,16,38,230,308,NA,592,0.005,0.699,0.296,3,414,175,592,0.002,0.002,0.002,NA,0.003,0.037,0.954,NA,1,1,1,NA,2,22,565,NA,8,0.014,NA,NA,"2022-05"
"2570","MARTIN","COMMISSIONERS' BOARD ROOM","05/17/2022",1632,0.032,0.072,0.371,0.521,0.003,53,118,605,851,5,1632,0.001,0.879,0.12,2,1434,196,1632,0.002,0.363,0.002,NA,0.001,0.014,0.617,NA,3,593,4,NA,2,23,1007,NA,17,0.01,NA,NA,"2022-05"
"2571","MCDOWELL","MCDOWELL COUNTY BOARD OF ELECTIONS OFFICE","05/17/2022",1804,0.022,0.064,0.346,0.566,0.001,40,116,625,1021,2,1804,0.002,0.881,0.116,4,1590,210,1804,0.001,0.022,0.001,0.004,0.002,0.011,0.96,NA,1,40,1,7,3,20,1732,NA,30,0.017,NA,NA,"2022-05"
"2572","MECKLENBURG","ALLEGRA WESTBROOKS REGIONAL LIBRARY","05/17/2022",3862,0.025,0.082,0.436,0.455,0.002,95,318,1683,1757,9,3862,0.008,0.833,0.159,31,3216,615,3862,0.004,0.886,0.001,0.01,0.005,0.024,0.07,NA,14,3421,5,38,20,92,272,NA,35,0.009,NA,NA,"2022-05"
"2573","MECKLENBURG","BALLANTYNE AREA","05/17/2022",2813,0.041,0.085,0.458,0.41,0.006,114,240,1289,1152,18,2813,0.018,0.835,0.147,52,2348,413,2813,0.025,0.17,0.002,0.032,0.006,0.036,0.728,NA,71,479,6,89,17,102,2049,NA,19,0.007,NA,NA,"2022-05"
"2574","MECKLENBURG","CORNELIUS TOWN HALL","05/17/2022",2408,0.023,0.051,0.334,0.589,0.003,55,123,804,1418,8,2408,0.008,0.818,0.174,20,1970,418,2408,0.004,0.094,0,0.008,0.002,0.034,0.858,NA,10,227,1,19,4,82,2065,NA,13,0.005,NA,NA,"2022-05"
"2575","MECKLENBURG","EASTWAY REGIONAL RECREATION CENTER","05/17/2022",2066,0.019,0.144,0.378,0.457,0.001,40,297,781,945,3,2066,0.013,0.823,0.164,27,1700,339,2066,0.012,0.668,0.001,0.014,0.003,0.034,0.268,NA,24,1380,3,29,6,71,553,NA,18,0.009,NA,NA,"2022-05"
"2576","MECKLENBURG","HAL MARSHALL ANEX","05/17/2022",1090,0.037,0.154,0.461,0.347,0.001,40,168,503,378,1,1090,0.024,0.85,0.126,26,927,137,1090,0.009,0.43,0.001,0.017,0.005,0.017,0.521,NA,10,469,1,18,5,19,568,NA,12,0.011,NA,NA,"2022-05"
"2577","MECKLENBURG","INDEPENDENCE REGIONAL LIBRARY","05/17/2022",2239,0.026,0.15,0.382,0.441,0.001,59,335,855,988,2,2239,0.024,0.854,0.122,54,1911,274,2239,0.011,0.407,0,0.023,0.004,0.029,0.525,NA,24,912,1,52,10,64,1176,NA,13,0.006,NA,NA,"2022-05"
"2578","MECKLENBURG","MARION DIEHL CENTER","05/17/2022",1453,0.021,0.155,0.365,0.456,0.002,31,225,531,663,3,1453,0.019,0.837,0.145,27,1216,210,1453,0.01,0.201,0.001,0.018,0.006,0.041,0.723,NA,14,292,1,26,9,60,1051,NA,10,0.007,NA,NA,"2022-05"
"2579","MECKLENBURG","MATTHEWS LIBRARY","05/17/2022",2981,0.032,0.086,0.346,0.532,0.005,95,256,1030,1585,15,2981,0.016,0.858,0.125,48,2559,374,2981,0.012,0.12,0,0.017,0.002,0.033,0.815,NA,37,357,1,51,6,99,2430,NA,23,0.008,NA,NA,"2022-05"
"2580","MECKLENBURG","MINT HILL LIBRARY","05/17/2022",2777,0.022,0.065,0.373,0.538,0.002,61,180,1036,1495,5,2777,0.012,0.852,0.137,32,2365,380,2777,0.006,0.257,0.002,0.014,0.002,0.025,0.694,NA,16,714,6,39,6,69,1927,NA,11,0.004,NA,NA,"2022-05"
"2581","MECKLENBURG","NORTH COUNTY REGIONAL LIBRARY","05/17/2022",2270,0.026,0.093,0.423,0.454,0.004,60,211,960,1031,8,2270,0.011,0.812,0.177,25,1844,401,2270,0.007,0.221,0.003,0.014,0.004,0.031,0.72,NA,17,501,7,31,9,70,1635,NA,22,0.01,NA,NA,"2022-05"
"2582","MECKLENBURG","SOUTH CHARLOTTE","05/17/2022",3223,0.023,0.086,0.384,0.501,0.005,74,278,1239,1615,17,3223,0.014,0.882,0.104,44,2844,335,3223,0.012,0.115,0.001,0.02,0.002,0.028,0.822,NA,40,370,4,63,5,91,2650,NA,20,0.006,NA,NA,"2022-05"
"2583","MECKLENBURG","SOUTHPARK REGIONAL LIBRARY","05/17/2022",3781,0.032,0.104,0.389,0.471,0.004,120,394,1470,1782,15,3781,0.009,0.889,0.102,34,3360,387,3781,0.008,0.081,0.001,0.012,0.003,0.022,0.874,NA,30,306,4,44,10,84,3303,NA,32,0.008,NA,NA,"2022-05"
"2584","MECKLENBURG","SPIRIT SQUARE","05/17/2022",977,0.037,0.286,0.498,0.179,NA,36,279,487,175,NA,977,0.023,0.802,0.175,22,784,171,977,0.015,0.189,0.001,0.013,0.004,0.034,0.743,NA,15,185,1,13,4,33,726,NA,16,0.016,NA,NA,"2022-05"
"2585","MECKLENBURG","STEELE CREEK AREA","05/17/2022",2205,0.02,0.105,0.46,0.414,0.002,43,232,1014,912,4,2205,0.02,0.811,0.169,44,1789,372,2205,0.013,0.504,0.001,0.02,0.005,0.038,0.419,NA,28,1112,3,43,11,84,924,NA,21,0.01,NA,NA,"2022-05"
"2586","MECKLENBURG","UNIVERSITY AREA","05/17/2022",4641,0.041,0.097,0.463,0.396,0.002,192,451,2148,1840,10,4641,0.015,0.81,0.175,70,3758,813,4641,0.011,0.719,0.002,0.018,0.006,0.031,0.212,NA,53,3336,7,84,30,145,986,NA,54,0.012,NA,NA,"2022-05"
"2587","MECKLENBURG","WEST BOULEVARD LIBRARY","05/17/2022",2335,0.022,0.113,0.41,0.454,0.001,51,264,958,1060,2,2335,0.009,0.845,0.146,21,1974,340,2335,0.002,0.761,0.001,0.011,0.003,0.027,0.195,NA,5,1778,2,25,8,62,455,NA,20,0.009,NA,NA,"2022-05"
"2588","MITCHELL","MITCHELL COUNTY BOARD OF ELECTIONS OFFICE","05/17/2022",872,0.029,0.085,0.405,0.475,0.007,25,74,353,414,6,872,0.005,0.802,0.194,4,699,169,872,0.002,NA,NA,0.002,NA,0.024,0.971,NA,2,NA,NA,2,NA,21,847,NA,17,0.019,NA,NA,"2022-05"
"2589","MITCHELL","SPRUCE PINE FIRE DEPARTMENT","05/17/2022",1050,0.029,0.075,0.381,0.512,0.003,30,79,400,538,3,1050,NA,0.845,0.155,NA,887,163,1050,NA,0.001,NA,0.001,NA,0.047,0.951,NA,NA,1,NA,1,NA,49,999,NA,6,0.006,NA,NA,"2022-05"
"2590","MONTGOMERY","BISCOE TOWN HALL","05/17/2022",293,0.055,0.089,0.403,0.451,0.003,16,26,118,132,1,293,0.003,0.829,0.167,1,243,49,293,0.007,0.137,NA,0.007,0.003,0.017,0.829,NA,2,40,NA,2,1,5,243,NA,2,0.007,NA,NA,"2022-05"
"2591","MONTGOMERY","HIGHLAND COMMUNITY CENTER","05/17/2022",137,0.007,0.058,0.423,0.511,NA,1,8,58,70,NA,137,0.007,0.825,0.168,1,113,23,137,0.007,0.416,NA,0.007,0.007,0.029,0.533,NA,1,57,NA,1,1,4,73,NA,1,0.007,NA,NA,"2022-05"
"2592","MONTGOMERY","TROY PUBLIC LIBRARY (COMMUNITY ROOM)","05/17/2022",1028,0.048,0.098,0.433,0.42,0.001,49,101,445,432,1,1028,0.001,0.833,0.166,1,856,171,1028,0.003,0.026,0.007,0.001,0.002,0.023,0.938,NA,3,27,7,1,2,24,964,NA,9,0.009,NA,NA,"2022-05"
"2593","MOORE","ABERDEEN RECREATION STATION","05/17/2022",2401,0.017,0.057,0.345,0.576,0.004,42,138,829,1383,9,2401,0.006,0.871,0.123,14,2091,296,2401,0.004,0.101,0.002,0.01,0.003,0.028,0.853,NA,9,242,6,23,7,67,2047,NA,29,0.012,NA,NA,"2022-05"
"2594","MOORE","AGRICULTURAL CENTER","05/17/2022",3462,0.018,0.051,0.327,0.603,0.002,62,175,1131,2086,8,3462,0.005,0.895,0.1,17,3100,345,3462,0.004,0.057,0.002,0.006,0.003,0.02,0.908,NA,13,197,7,22,9,69,3145,NA,17,0.005,NA,NA,"2022-05"
"2595","NASH","BOARD OF ELECTIONS AUDITORIUM","05/17/2022",4459,0.02,0.043,0.359,0.576,0.001,90,193,1602,2568,6,4459,0.004,0.915,0.081,16,4080,363,4459,0.001,0.354,0.004,0.005,0.002,0.01,0.623,NA,4,1580,17,24,9,46,2779,NA,17,0.004,NA,NA,"2022-05"
